timestamp,name,other_names,previous_names,oc_id,,jurisdiction,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,,,,
,Samsung Heavy Industries Upstream Nigeria,Samsung Heavy Industries Upstream Nigeria,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,SCC Nigeria Limited,SCC Nigeria Limited,,,,Nigeria,,,,,,,"SCCN House, Plot 184 Cadestral Zone A8, Ademola Adetakunbo Wuse 2,Abuja, Nigeria.",http://www.sccnigeria.com/#/Contacts/,"Prof. John Kester, Chairman/CEO
Engr. Safet  Karaulan, Managing Director
Mr. Henry C. Eneh, General Manager
Mrs. Patience I. Ikemefuna, Chief Financial Officer",,http://www.sccnigeria.com/#/About-us/,,,,,,,,,,,http://www.sccnigeria.com/,,,,
,Schlumberger Supply Chain Services,Schlumberger Supply Chain Services,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell Nigeria Developement Company,Shell Nigeria Developement Company,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell Nigeria Exploration and Production Company (SNEPCO),Shell Nigeria Exploration and Production Company (SNEPCO),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell Petroleum Development Company of Nigeria Limited (SPDC),Shell Petroleum Development Company of Nigeria Limited (SPDC),,,,Nigeria,,,,,1936,http://www.shell.com.ng/aboutshell/who-we-are/history/country/first-steps.html,"Shell Petroleum Development Company of Nigeria Ltd., Freeman  House, 21/22 Marina, PMB 2418, Lagos, Nigeria",http://www.shell.com.ng/about-our-website/contact-us.html,"Mr. Mutiu Sunmonu (MD)
Mr. Olujinmi Lawal",,http://www.shell.com.ng/aboutshell/pensionfund/trustees/trustee-directors.html,,,,,,,,,,,www.shell.com.ng,,,,
,Star Deep Water Petroleum (CHEVRON),Star Deep Water Petroleum (CHEVRON),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stardeep Water Petroleum Limited,Stardeep Water Petroleum Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technip France,Technip France,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technip Offshore Nigeria Limited,Technip Offshore Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tecon Oil Services Limited,Tecon Oil Services Limited,,,,Nigeria,,,,,1991,http://www.teconoilserv.com/index.php?s=about-us,"7, Yeshayahu Lasode Crescent, (By Mobil House), VI, Lagos, Nigeria.",http://www.teconoilserv.com/index.php?s=personnel,"Godwin Sampson Adokpaye, Director
Maduafokwa Blossom Adaeze, Director
Njoku Donatus Chukwuemeka, Director","Messrs Equatorstar Oil Ltd (6,000,000)
Messrs Young Turk Capital Funding Ltd (6,000,000)
Mr. Tony Eze (1,000,000)
Mr. Casmir Maduafokwa (5,000,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OSTA1SnNUOXRaYVk/edit?usp=sharing,,,,,,,,,,,http://www.teconoilserv.com/,,,,
