timestamp,name,,legal_name,other_names,,previous_names,,oc_id,,jurisdiction,jurisdiction_source,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,document_name,documentation_summary,document_raw,document_url,,,,
,Conoil Producing Unlimited,,,Conoil Producing Unlimited,https://drive.google.com/file/d/0B-KlXDOYUc-ORWxJdmMxSWhzcTg/edit?usp=sharing,,,,,Nigeria,,,,,,,,,,"Dr. Michael Adebuga (Jnr), Director
Mr. Michael Agbolade Adenuga, Director
Alhaji Sefiu Subair, Director
Chief (Mrs.) Oyindamola Adenuga, Director","Dr. Adenuga Michael Jnr. (50,000)
Mr. Adenuga Michael (50,000)",https://drive.google.com/file/d/0B-KlXDOYUc-ORWxJdmMxSWhzcTg/edit?usp=sharing,,,,,,,,,,,,,,,,,,,
,Consolidated Oil Limited,,,Consolidated Oil Limited,http://www.lighthouselaboratories.com/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Continental Oil and Gas Limited,,,Continental Oil and Gas Limited,https://drive.google.com/file/d/0B-KlXDOYUc-OQ19DZFFBc3luSlE/edit?usp=sharing,,,,,Nigeria,,,,,,,,,,"Subair Alhaji Sefiu, Director
Agbolade Paddy, Director
Adenuga Mike, Director","Subair Alhaji Sefiu (15,000)
Agbolade Paddy (15,000)
Adenuga Mike (20,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OQ19DZFFBc3luSlE/edit?usp=sharing,,,,,,,,,,,,,,,,,,,
,Crestech Engineering Limited,,,Crestech Engineering Limited,http://www.technip.com/en/entities/crestech/experience,,,,,,,,,,,2007,http://www.technip.com/en/entities/crestech/profile,"4/6 Ajose Adeogun Street, Victoria Island, Lagos, Nigeria",http://www.technip.com/en/entities/crestech/contact-us,"Dr. F. Lalude, Chairman
F. Pliya, Managing Director/CEO
Dr. P. Tabiowo, Executive Director
Dr. F. Adubi, Board Director
A. Meyer, Board Director
JM. Letournel, Board Director
F. Brun, Board Director",,http://www.technip.com/en/entities/crestech/profile,,,,,,,,,,,,,,,,,,,
,Crestville Engineering and Technology,,,Crestville Engineering and Technology,http://www.technip.com/sites/default/files/technip/publications/attachments/Technip_in_Nigeria_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daewoo E&C,54,,Daewoo E&C,http://www.daewooenc.com/company/overseas.asp,,,,,South Korea,http://investing.businessweek.com/research/stocks/snapshot/snapshot.asp?ticker=047040:KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daewoo Engineering and Construction Company Limited,53,,Daewoo Engineering and Construction Company Limited,http://www.daewooenc.com/company/overseas.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daewoo Nigeria Limited,,,Daewoo Nigeria Limited,http://wellman-wellington.org/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Danelec Limited,,,Danelec Limited,http://www.danelec-ltd.com/Clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data-Mat Nigeria Limited,,,Data-Mat Nigeria Limited,http://nielsonngr.com/about-us/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
