Timestamp,Legal Name,Other Names,Previous Names,Company number,Source URL,Company Type,Source URL,Trading name,Source URL,Date founded,Source URL,Headquarters,Source URL,Key people,Source URL,Revenue,Source URL,Profit,Source URL,Total assets,Source URL,Total equity,Source URL,Employees,Source URL,Website,Document Name,Document Summary,Document Raw,Document URL
,,Total Exploration and Production Nigeria Limited,,,,,,,,1962,http://www.ng.total.com/02_about_tepng/0207_tepngs_role.htm,,,"Guy Maurice, Elisabeth Proust, Charles Ngoka, Nicolas Brunet, Olivier De-Langavant, Edith Ofili-Okonkwo, Olubunmi Obembe, Patrick Ngene, Kingsley Ojoh, Francois Le-Cocq, Isabelle Gaildraud, Marc Blaizot, Clement Berthian, Olatowun Candide-Johnson",http://www.ng.total.com/02_about_tepng/0208_tepng_board.htm,,,,,,,,,,,http://www.ng.total.com/02_about_tepng/0201_about_tepng.htm,,,,
,,Totalfinaelf Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL Nigeria Plc,,,,Public Limited Company,http://www.securities.com/Public/company-profile/NG/Total_Nigeria_Plc_en_2033781.html,,,1956,http://www.securities.com/Public/company-profile/NG/Total_Nigeria_Plc_en_2033781.html,"Total House,4, Afribank Street, Victoria Island,P. M. B 2143; Lagos; Lagos",http://www.securities.com/Public/company-profile/NG/Total_Nigeria_Plc_en_2033781.html,"Momar Nguer (Chairman), Denis Toulouse (Director / Member of the Management Board), Felix Majekodumi (Director / Member of the Management Board), J. O. Ibru (Director / Member of the Management Board), J. W. Adeyinka (Director / Member of the Management Board)",http://www.securities.com/Public/company-profile/NG/Total_Nigeria_Plc_en_2033781.html,,,,,,,,,495,http://www.securities.com/Public/company-profile/NG/Total_Nigeria_Plc_en_2033781.html,http://www.ng.total.com/,,,,
,,Total Upstream Nigeria Limited (TUPNIL),,,,,,,,,,,,"Guy Maurice, Chairman
Elisabeth Proust, Managing Director / Chief Executive
Charles Ngoka
Bruno Erwes
Olivier De-Langavant
Marc Blaizot
Francois Le-Cocq
Edith Ofili-Okonkwo
Fabrice Arnaud
Clement Berthian
Olatowun Candide-Johnson, Company Secretary",http://www.ng.total.com/02_about_tepng/0209_tupni_board.htm,,,,,,,,,,,http://www.ng.total.com/,,,,
,,WorleyParsons Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zech Oil and Gas Nigeria Limited,,,,,,,,2001,http://www.zechoil.com/,"Close 6B, Plot 4, Housing Estate, Elekahia, Port Harcourt, Rivers State",,,,,,,,,,,,310,http://www.zechoil.com/,http://www.zechoil.com/,,,,
,,Bell Oil and Gas Nigeria Limited,,,,,,,,,,,,"Kayode Thomas, Director
Ayo Aderibigbe, Director
Akindele Rockson, Director
Oyibo Chamberlain, Director
Nwani Andrew, Director
Ogboro Francis, Director
Adesina Festus A., Director",https://drive.google.com/file/d/0B-KlXDOYUc-ON1E1WlkxVHJfUFE/edit?usp=sharing,,,,,,,,,,,,,,,
,,Pipelines and Product Marketing Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Idmon Engineering and Construction Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seplat Petroleum Development Company Plc,,,,,,,,,,,,"Henin Jean-Francois, Director
Hochard Michel Noel Marie, Director
Orjiakor Ambrose Bryant Chukwueloka, Director
Avuru Augustine Ojuekwu, Director
Ofurhie Macaulay Agbada, Director
Ada-bayero Nasir, Director
Omiyi Basil, Director
Connal Stuart, Director
Okeahalam Charles, Director
Okauru Ifueko Omoigui, Director
Alexander Michael Richard, Director
Brown Roger, Director",https://drive.google.com/file/d/0B-KlXDOYUc-ONUI4b3RRd2F2eDQ/edit?usp=sharing,,,,,,,,,,,,,,,
,,Indorama Eleme Petrochemicals Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Subsea7 (Nigeria) Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hyundai Heavy Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nigerdock Nigeria Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Afren Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DeltaAfrik Engineering Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nigeria Liquefied Natural Gas Limited (NLNG),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nigerian Petroleum Development Company Limited (NPDC),,,,,,,,,,,,"Odoliyi Lolomari, Director
George Uzoma Ibekwe, Director
Dr. Funsho Adebiyi, Director
Engr. Fisoye Delano, Director
Maj. Gen Abdu-One Mohammed, Director
Joju Fadairo, Director
Hon. Ogbams Ojimah, Director
Barr. Funsho Sa’ad, Director
Abubakar U. Babangida, Director
Azubuike E. Ahubelem, Director
Sunny O. Olawore, Director
Chike Chukwuka, Director",https://drive.google.com/file/d/0B-KlXDOYUc-Oak9uWnZJUDV5emc/edit?usp=sharing,,,,,,,,,,,,,,,
,,Warri Refining and Petrochemical Company Limited (WRPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sterling Energy & Exploration Production Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exprotech Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Julius Berger Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dorman Long Engineering Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AMEC Contractors West Africa Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wellman & Wellington Company Limited (WWCL),,,,,,,,,,,,"Wellman Ndubuisi Onwunali, Director
Chioma Onwunali, Director
Uzodinma Onwunali, Director
Wellington Onwunali, Director
Kelechi Onwunali, Director",https://drive.google.com/file/d/0B-KlXDOYUc-OQUpYT29ETEVBdFU/edit?usp=sharing,,,,,,,,,,,,,,,
,,Sahara Energy Resource Nigeria Limited (SERNL),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Global Gas and Refining Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,First Aluminum Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,National Integrated Power Project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Daewoo Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The Initiates Limited (TIL),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Plantgeria Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Petro-Scan Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ana Industries Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MannProject International Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kaduna Refining & Petrochemicals Company (KPRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Port Harcourt Refining Company Limited (PHRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chattel Associates Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LYK Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Channel Engineering Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Saipem Contracting Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slot Engineering Nigeria limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Catobi Nigeria Enterprise Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sinopec International Petroleum Exploration and Production Company Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Universal Energy Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Niger Delta Petroleum Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Brawal shipping (Nigeria) limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sydney Gateway Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Omel Exploration & Production Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kod Technical Services Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cisan International Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Boltog  Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amban Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Instrutech Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laila Mechanical Engineering Services & Contracting Company Limited (LAMESCO),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jeph Kebbi International Limited Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,River Creek Specialist Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nelson Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New Oil Field and Allied Services Limited (NOAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aanderaah Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mobil Oil Nigeria Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Integrated Quality Technologies Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rockson Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data-Mat Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dec Oil & Gas Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shell Nigeria Gas Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jam Services Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ashland Oil Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fomoyi Services Nigeria limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,National Oil and Chemical Marketing Company Plc (NOLCHEM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belmont Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lighthouse Petroleum Engineering Company Limited (LPEC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Department of Petroleum Resources (DPR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dubri Oil Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Consolidated Oil Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGI Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snamprogetti SpA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geometric Power Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Conoco Energy Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Galba Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ABB Global Engineering Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Schlumberger Oilfield Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oiltest Services Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Global Offshore Drilling Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dowell Schlumberger Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Air Liquide Nigeria Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Schlumberger (Sedco-Forex) Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Schlumberger (Wire line and Testing) Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BJ Services Company Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Trident Steelworks Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Danelec Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neptune Maritime Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NSKJ Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
