Company,Source URL,Confidence
,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=33,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=348,Low 
,http://www.conoilproducing.com/View/Index/31/OPL-290,Medium 
,http://www.conoilproducing.com/View/Index/30/OPL-2007,Medium 
Crestech Engineering Limited,http://www.technip.com/en/entities/crestech/experience,Medium 
Crownwell Petroleum Limited,http://myondostate.com/w3/list-of-owners-of-nigerian-oil-blocks-released/,Low 
Daewoo Engineering and Construction Company Limited,http://pointengineering.com/index.php/experience?start=1,Medium 
,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,Medium 
,http://www.daewooenc.com/company/overseas.asp,High
Daewoo Nigeria Limited,http://wellman-wellington.org/clients.html,Medium 
,http://www.initiatesgroup.com/projectsref-treatmentanddisposal.html,Medium 
,http://chattelng.com/PAST-JOBS.pdf,Medium 
,http://nielsonngr.com/about-us/projects.html,Medium 
Danelec Limited,http://www.danelec-ltd.com/Clients.html,Medium 
De Atai Oil Services,http://www.energy-pedia.com/news/nigeria/afren-signs-pscs-for-two-licences-in-the-gas-rich-anambra-basin-,Low 
DeltaAfrik Engineering Limited,http://www.belloil.com/clients/2014-3/,Medium 
,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,Low 
Dewayles International Limited,http://www.dewaylesinternational.com/index.php?option=com_content&view=article&id=5&Itemid=6,Medium 
,http://www.offshore-technology.com/projects/bonga/,Medium 
Dowell Schlumberger Nigeria Limited,http://bgiresourcesltd.com/Projects_types5.htm,Medium 
,https://www.slb.com/~/media/Files/resources/oilfield_review/ors06/win06/contributors.pdf,High
EHRC Energy,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,Low 
,http://www.nairaland.com/1022409/real-owners-nigeria,Low 
Elcrest Exploration and Production Nigeria Limited,http://www.ventures-africa.com/2012/09/elcrest-acquires-30-stake-in-shells-oml-40-oil-block-for-102m/,Low 
Elf Aquitaine SA,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=5515939,Medium
,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=322925,Medium
Elf Petroleum Limited,http://www.teconoilserv.com/index.php?s=projects,Medium 
,http://www.boltoggroup.com/clients.html,Medium 
,http://ambanltd.com/projects-eng.html,Medium 
,http://www.lighthouselaboratories.com/clients.html,Medium 
,http://bgiresourcesltd.com/Projects_types.htm,Medium 
,http://www.danelec-ltd.com/Clients.html,Medium 
,http://www.igpesgroup.com/projects/index.php,Medium 
Emo Oil & Petrol Chemical Company Limited,http://www.oilmapng.com/viewOilBlock_page.php?id=181,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=191,Low 
Eni International BV,https://www.sec.gov/Archives/edgar/data/1002242/000131143514000005/sj0414eni20f2013.htm#E8,High
,http://www.nlng.com/PageEngine.aspx?&id=43,High
,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=5465070,Medium
